combined_username,rating,review_description,source
Anvesh Japa,1,"This is such a fake app. Look at the attendees, when I booked tickets there is no show happening at the venue. Such a disaster and worst app to use",Google Play
Bindi Shah,5,"I love the UI / UX of the app - simple to navigate, simple to book and so easy to use. The design is colorful and the ratio proportion is just correct. Recommend this app for anyone looking for a party scene in Mumbai. Sort your free / cover charge entry online.",Google Play
Dhruv,1,"App is great for nightlife but too many glitches . Please update this app, it crashes every 2-3 mins",Google Play
Lav Khanna,2,Much needed app to sort my scene for the night. 3 stars deducted because of fake girl attendees. Unethical,Google Play
Ahaan Narain,5,"Simple to navigate,really convienent in planning a night out.",Google Play
Khushi Agrawal,5,Simple to navigate and convenient for planning.,Google Play
Chaitanya Karandikar,5,User friendly and good offers. This helps in sorting my weekend scenes.,Google Play
Meher Aibara,5,User-friendly interface and easy navigate. Awesome app,Google Play
shrujay shah,5,Best app on playstore to plan your evenings and weekends..Strongly recommend everyone to give a try..!,Google Play
Aarushi Nagar,5,"It's really helpful app to find concerts, clubs or any college fest and big events",Google Play
Diksha Uday,5,Easy to find events of my liking and was very easy to use the app,Google Play
Lakshya Khatri,5,"Awesome app, does the job, simple easy UI.",Google Play
kai,5,"Great UI, and an amazing event finder.",Google Play
Niyoti Dhond,5,Easy to navigate and locate a place,Google Play
Saachi B,5,Extremely smooth and easy to use,Google Play
Ansh Sugandhi,5,"Great user experience, helpful in exploring nightlife",Google Play
Asees Singh,5,Wonderful events available in this app and it easy to use,Google Play
Chetan Bahikar,5,It's really nice app,Google Play
Ananya Chincholikar,5,Perfect to plan a fun chill evening out without the pain of not knowing what to do!!,Google Play
SHREYASH AGGARWAL,5,It's an exceptional app for those who enjoy going to clubs.,Google Play
Khushi Mishra,5,Love the website interface!,Google Play
shivani patil,5,Love the website interface!,Google Play
Shriya Jadhav,5,User friendly and helpful,Google Play
Arya Thakkar,5,Sorted my scenes for real great app!!,Google Play
Irfan khan,1,App is not open after update plz help,Google Play
Gautam Mehta,5,My favourite app to explore the night life!,Google Play
DJ Prajwal Vaidya,5,Thank You For Everything ! ❤️,Google Play
Yashvi Patel,5,Love it website interface,Google Play
Archit Devhare,5,Good app to get your scene sorted.,Google Play
Bhaavna Nair,5,Great app easy to use,Google Play
Srijita Bose,5,"Love the app , it's just perfect",Google Play
Durvesh Patankar,4,The events on the website are great!,Google Play
Darshil Maru {DM},1,Not able to login,Google Play
Ami Doshi,5,The events on the website are great!,Google Play
Harsheel Dani,5,The events on the website are great !,Google Play
Vedant Karia,5,Amazing app for getting info,Google Play
Malvika Vipin,5,Love the interface,Google Play
Komal Goel,5,Best events on the app,Google Play
Juhi Mody,4,The events on website are great,Google Play
Noor Moolji,5,The events on this website are great!,Google Play
Revanshi Jain,5,The events on this website are great!,Google Play
Anushi Shah,5,The events on this website are great,Google Play
NAMAN AGGARWAL,5,It definitely helps me sort my weekends,Google Play
Kaushal desai,5,Events on this app are great,Google Play
Tanisha Parikh,4,Such an amazing app,Google Play
Khushi Patel,4,A great app to use❤❤,Google Play
Gyan Singh,5,Totally sorted my scene!!!,Google Play
Tanmay Jain,5,Very good app,Google Play
Aditi Sawant,5,Veryy goood app!!,Google Play
Mekhla Gupta,5,Love the app,Google Play
Anay Gupta,1,Wierd App Experience,Google Play
Ishita Malde,5,It's amazinggg,Google Play
Anish Baradiya,1,Fake app,Google Play
Dhwani S,4,Good app,Google Play
Garvi Mamtani,5,Amazing app👍,Google Play
drishti wadhwani,5,Absolutely amazing 😍,Google Play
Sonali Pande,5,great app👍🏻,Google Play
Vanshika Joshi,5,Good!!!!,Google Play
Govind Nair,5,Amazing,Google Play
ATHARV REVDIKAR,1,App walo tumhari aisi ki tesi,Google Play
Kirtana M,5,Great app 👌🏻!!,Google Play
Zieta Irani,5,good experience!,Google Play
Saniya Bhaskarwar,4,V niceeeee,Google Play
divyanshi Hablani,5,Amazing app,Google Play
Shaxan doka,5,Great,Google Play
Mahima Kochar,5,Amazing,Google Play
Hiral Bafna,5,👍👍,Google Play
Neel Gada,5,Great app!,Google Play
Pakshlika Gada,5,Great app !!!,Google Play
Dhrumil Gada,5,Amazing UI.,Google Play
anshika arora,5,Amazing app,Google Play
Ketaki Joshi,5,Great App,Google Play
Aryan Gupta,5,Great usage,Google Play
Jainav.P. Thakur,5,Great App,Google Play
Aan Chandra,5,Nice,Google Play
12828374,5,Makes life in metropolitan cities so much easier by showing all the events being conducted day by day. Really makes it easier to make a plan with friends and family. Best way to buy tickets too.,App Store
Bla bla blaaa blaaa,5,"The events on the website are great!
Love the website interface!
I highly recommend Sort my scene as the navigation is very easy. 4) It definitely helps me sort my weekly scenes.",App Store
Varun kanakia,5,Always have been helpful and available when it comes to finding out the best places and nightlight,App Store
paushitae,5,"The interface is extremely easy to navigate through, makes it hassle free",App Store
mahitha vetcha,5,I highly recommend Sort my scene as the navigation is very easy.,App Store
jiyagala33,5,The interface was extremely easy to use and very user friendly .,App Store
tannnssss,5,User friendly and would recommend to others!!,App Store
AnanyaAseemSinha,5,A very very well made app. Easily accessible and makes everything much easier,App Store
avaniiiiii kothariiiii,5,Loved the interface. Super user friendly. Would definitely recommend to others.,App Store
Nachiket Gajora,5,The interface is user friendly and it actually helped me sort my weekly raging party scene,App Store
Yaaaaaaaassshhhhhh,5,Your go to app for clubbing where you can choose or plan in the best way possible because of its wide variety of options. its truly IN THE NAME!,App Store
Aashana Sakariya,5,Love the website interface,App Store
Radsee,5,"Very user friendly and the most important part is found a great deal

Highly recommended!!!",App Store
yashiee0514,5,"Amazing interface, tells you all about the happening events",App Store
abcdsmsjdkdlsjjd,5,Easy to use. One can have blunt access to all the events happening in the city esp. nightlife. Well crafted 👏app.,App Store
hanushiv,5,I highly recommend sort my scene as the navigation is very easy,App Store
aarya dani,5,Highly recommend,App Store
Nishikaaa,5,It’s super user friendly and has great events!!,App Store
Nirmay944,5,It definitely helps me sort my weekends,App Store
Jainav9,5,The details and the interface is amazing. It is very easy to use.,App Store
romin_7,5,"Being not from Bombay, I got to know of all the events in the city! Superb and easy to use",App Store
Shravan More,5,The app is user friendly and my go to app for sorting out my weekend scenes !!,App Store
Naman Sanghvi,5,All events listed are great! Extremely easy to use as well,App Store
Pearl Yezdegardi,4,"Loved the website interface, makes it so easy !",App Store
kk123474,5,Love the website interface!,App Store
_yesh1234a,5,Use it almost every time I go out to events and such,App Store
iqnshfidn,5,Love the website interface!,App Store
Krishna2940372,5,Came from Ahmedabad found it super easy to navigate Mumbai nightlife! Highly recommended.,App Store
lokesh modi,5,User friendly. Smooth access to all the happenings in the city. Loved it.,App Store
MANISHSARDA,5,I highly recommend Sort my scene as the navigation is very easy.,App Store
kaa1211,5,Easy to use and one stop shop for nightlife.,App Store
Aashman Limaye,5,Every aspect from the UI / UX to the choices of events which appear are good,App Store
Vir7011,5,Loved the app interface!,App Store
Bhoomi Goel,5,Love the website interface!,App Store
Kareena T,5,"very helpful, helps me sort my weekends scene",App Store
Peony Jain,5,Love the website interface!,App Store
vedant212,5,5 years of partying and it’s never been so easy!,App Store
binoyyyyyyy,5,Love the website interface!,App Store
Dhvani Shah,5,Making my life so much easy! Sort my scene is sorting my life,App Store
shaily van,5,Excellent user friendly app. Easy to use,App Store
Dhriti Vora,5,Love the interface it’s so easy and helps me sort my weekly scenes   !,App Store
Mananthukral,5,The events on the website are great !,App Store
komal B kothari,5,definitely helps me sort my weekly scenes.,App Store
Aryan Menon 2020,5,Loved the experience! I use it every weekend❤️,App Store
dishti04,5,"Amazing app, love the interface. Very user friendly",App Store
#Tirth_1175,5,Buying tickets got easier!!,App Store
Adi Shroff,5,"Loved using the app, seamless experience.",App Store
mahekkkkkkkkkk,5,Amazing platform got my tickets booked smoothly,App Store
Sana Sidhu,5,Made my life so much easier!,App Store
eeeessssshhhhhaaaannnnnn,5,The events on this website are great,App Store
pratzzzzzzzz,5,Great app easier to get tickets.,App Store
sanssyyyy,5,It definitely helps me sort my weekly scenes.,App Store
Serena Mandot,5,Very easy to use and very convenient!,App Store
jjadvani01,5,This app has help me a lot to get entries.,App Store
bhavya--,5,The interface is the xtremly easily,App Store
"hmdjs,w,s,q,a,a",5,Amazing app,App Store
AnushkaaaMehta,5,always helps me sort my scenes :),App Store
~TN~,5,Highly recommend the app,App Store
ananya khatwani,5,Highly recommended,App Store
jdjnsmdnd,4,The events on the website are great!,App Store
Deep H Shah,5,It’s very Convenient,App Store
het007,5,Love the website interface!,App Store
shauryabindra29,5,Easy to use,App Store
drippy991,5,Loved the interface its amazing,App Store
purvi.bhatia,5,The events on the website are great!!!,App Store
RAYAN HEGDE,5,Easy to use,App Store
Rania V,5,Amazing app and easy to use!,App Store
naks......,5,Love how user friendly this app is,App Store
N_ATURAM,5,Amazing user interface and experience,App Store
lilxzav,5,Sort my scene sorted my scene,App Store
KMVora,5,Super app and super interface.,App Store
Khushali Bhandari,5,Amazing interface!,App Store
ILLENIUM of,5,this app makes my weekend plannings so convenient!!,App Store
Lad-10,5,Wow the interface too good,App Store
Shreya Sharda,4,The events on the website are great!!,App Store
vanii._.,5,loved the app. Features are very different,App Store
3738479392,5,Super easy to use,App Store
NamanMehta2004,5,Superb app for club bookings,App Store
smritisingh26,5,Very efficient and helpful.,App Store
KUNAL BOSS,5,Very good app,App Store
Vanshika purohit,5,this makes my job really easy and its very easy to book,App Store
IlleniumFest,5,Amazing app !! Really convenient,App Store
Smriti123098,5,"Sick app, loved it",App Store
jinsi shah,5,Hassle free experience,App Store
wnfnx. wn ebv,4,Got many chicks through this app tysm,App Store
Bianca Contractor,5,Love the App. Great Interface,App Store
teenaameenaa,5,Sort my scene is the best,App Store
snmsmsks,5,Best app to book any events💗💗,App Store
alaska.123,5,The events on the website are great!,App Store
dshah124,5,Best way to get into any club🤩💃,App Store
roshni vipul thakkar,5,best to see what you’re doing the next weekend,App Store
Usfifi,5,helps me sort my scene every weekend,App Store
anshika k,5,"so easy to use, helpful and comes in really handy for every upcoming event!!",App Store
Riddhant Gopalani,5,Best events best nights best app,App Store
ameyawazir,5,best app,App Store
Titiksha:),5,👍🏻👍🏻,App Store
dhvaniisdumb,5,Here for Shaurya give him a promotion,App Store
bhagat aditi,5,so helpful and easy to use !!!,App Store
Samiya02,5,Itsssss dammmmm amazing ✨✨,App Store
Niva Kothari,5,The scenes here are amazing!!,App Store
pariarora1107,5,Great app,App Store
anjiekakar,5,the app is really helpful!,App Store
itsokayvans,5,too convinient,App Store
"hetmehta20""4",5,Great UCPL 😍,App Store
raaizu,5,Lovely,App Store
Uditie,5,Great app!,App Store
rambhia.raj,5,Love the app,App Store
mansisingh,5,Greatt app!!!,App Store
Janvikela,5,Wow! What an app,App Store
shreya26393(2838,5,love the app,App Store
Mahek Sanghavi 1,5,Loved it,App Store
Bahanajabashaba,5,Wow,App Store
harshil mhim,5,Love love love,App Store
